t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
815463305.995,815463315.995,815463308.7615,815463307.182,815463310.341,0.262259899855764,0.17169604002486694,3.671638597980696e-16,2.403744560348137e-16,20.273170272406265,0.5467843655534104,1.1544424179297685,0.16185568144333976,0.2019047925166161,2.265979540206757e-16,2.826667095232626e-16,20.79718012857157,0.8792188962198715,,0.262259899855764,0.17169604002486694,3.671638597980696e-16,2.403744560348137e-16,20.273170272406265,0.5467843655534104,1.1544424179297685,2.0,2.333153028509475,6.9480243096037e-310,6.9480243096037e-310,8.896339203182215,1.279068111516006e-309,0.8932299844273193,0.8573857277915942,308.35699462890625,303.23114013671875,133.2766021201234,45.4628969016316,-16.592680128585002,6.5,0.0
815463315.995,815463325.995,815463322.8371999,815463319.71,815463325.634,0.5754236104646177,0.2412663702261869,8.055930546504648e-16,3.377729183166617e-16,19.42003080587036,0.3801738749034911,0.590092005405296,0.47501939205219335,0.2614694703143108,6.650271488730707e-16,3.6605725844003513e-16,19.628221651257032,0.4761371101631191,0.8680298072381305,0.5754236104646177,0.2412663702261869,8.055930546504648e-16,3.377729183166617e-16,19.42003080587036,0.3801738749034911,0.590092005405296,5.0,5.688290588926145,6.9480243096037e-310,6.9480243096037e-310,9.885396576503378,1.279068111516006e-309,0.9925355169606759,0.8791985822086019,306.4080505371094,303.7436218261719,134.25625997847285,45.46156388657438,-16.59322362737736,6.400000095367432,0.0
815463325.995,815463335.995,815463332.7225,815463332.155,815463333.29,0.2298300709752445,0.15248456329646534,3.217620993653423e-16,2.1347838861505148e-16,20.416482872058697,0.5525351778034242,1.1824293919017705,0.12942585256282027,0.1827820473274827,1.8119619358794838e-16,2.5589486625847583e-16,21.03994741380599,0.9560571336789963,,0.2298300709752445,0.15248456329646534,3.217620993653423e-16,2.1347838861505148e-16,20.416482872058697,0.5525351778034242,1.1824293919017705,2.0,2.271757349477247,4.66011456981745e-310,4.66011456981745e-310,9.884508758307538,8.57884727642023e-310,0.9924463762686302,0.8805663642951069,307.71087646484375,303.3671569824219,133.62330886693096,45.464304723337,-16.59311466862095,5.5,0.0
815463335.995,815463345.995,815463340.9684999,815463340.351,815463341.586,0.238435494292363,0.15531320361106624,3.338096920093082e-16,2.1743848505549273e-16,20.37657273403364,0.5446205605878411,1.1441335084993831,0.13803127587993877,0.18514844850025,1.932437862319143e-16,2.5920782790035004e-16,20.97005624408551,0.923666509660432,,0.238435494292363,0.15531320361106624,3.338096920093082e-16,2.1743848505549273e-16,20.37657273403364,0.5446205605878411,1.1441335084993831,2.0,2.3568126307237587,4.66011456981745e-310,4.66011456981745e-310,9.884487365098002,8.57884727642023e-310,0.9924442283001473,0.8486049198649606,305.8221130371094,301.4083251953125,136.34439018011798,45.46061417103785,-16.590360829762098,6.5,0.0
815463345.995,815463355.995,815463349.9206667,815463346.53,815463354.777,0.3487125685885819,0.1878205449264028,4.881975960240147e-16,2.629487628969639e-16,19.963830997847012,0.46782232465992735,0.8398327167246684,0.2483083501761577,0.21315176834279875,3.4763169024662083e-16,2.984124756799183e-16,20.33252168908729,0.6728571222885655,2.1224617025786223,0.3487125685885819,0.1878205449264028,4.881975960240147e-16,2.629487628969639e-16,19.963830997847012,0.46782232465992735,0.8398327167246684,3.0,3.4470613206151137,8.62437533437642e-288,8.62437533437642e-288,9.885107768174613,1.5876690956465683e-287,0.9925065193861552,0.8709597138535267,306.7024230957031,301.917236328125,135.3686314687641,45.46284832423033,-16.592769875360535,7.666666507720947,0.0
815463355.995,815463365.995,815463362.276,815463361.247,815463363.305,-1.0043641490342338e+228,3.187681122306679e+113,-1.4061098086479273e+213,4.4627535712293507e+98,,,,0.1377648816254904,0.1850783566128632,1.9287083427568654e-16,2.591096992580085e-16,20.97215369155802,0.9246329285448986,,0.23816910003791464,0.15522868458800204,3.334367400530805e-16,2.1732015842320288e-16,20.377786460969368,0.5448662357471292,1.1452980229764087,2.0,2.354110674861783,5.39262624177305e+228,5.39262624177305e+228,9.884198556769233,9.927334672354933e+228,0.9924152307256263,0.8495777285906179,305.2818908691406,299.1409912109375,138.36206073645178,45.46190618294095,-16.5898236218008,6.5,0.0
815463365.995,815463375.995,815463373.3740001,815463372.265,815463374.483,0.2401102448764569,0.15586196142389255,3.361543428270397e-16,2.1820674599344958e-16,20.368973273343563,0.5431350318820556,1.137124074301667,0.13970602646403268,0.18561051405518897,1.9558843704964577e-16,2.598547196772646e-16,20.956962148572387,0.917727511769364,,0.2401102448764569,0.15586196142389255,3.361543428270397e-16,2.1820674599344958e-16,20.368973273343563,0.5431350318820556,1.137124074301667,2.0,2.3732369793102066,8.618371218662761e-72,8.618371218662761e-72,9.883947186557158,1.5865637925265538e-71,0.9923899920959508,0.8427855818910788,305.32415771484375,299.7723388671875,137.8734897235784,45.462474413113995,-16.592240704229198,6.5,0.0
815463375.995,815463385.995,815463378.4485,815463376.332,815463380.565,0.23611429242195553,0.15455560799742307,3.3056000939073776e-16,2.163778511963923e-16,20.387194308752562,0.5467191883288898,1.1541301617170419,0.1357100740095313,0.1845134838071624,1.8999410361334383e-16,2.5831887733002737e-16,20.988469781654626,0.932102977669782,,0.23611429242195553,0.15455560799742307,3.3056000939073776e-16,2.163778511963923e-16,20.387194308752562,0.5467191883288898,1.1541301617170419,2.0,2.3338611633000754,1.3541146733344104e-255,1.3541146733344104e-255,9.884455275283695,2.49280201227471e-255,0.9924410063474229,0.8573624262674834,303.311279296875,301.10302734375,138.30878465151073,45.45990670846395,-16.594150882074,6.5,0.0
815463385.995,815463395.995,815463392.06625,815463389.068,815463395.612,-5.57482098252888e+248,7.509065181151415e+123,-7.804749375540433e+233,1.0512691253611981e+109,,,,0.3764347578701185,0.24162942586327602,5.270086610181659e-16,3.3828119620858646e-16,19.880775707703656,0.5383596510642477,1.1149566164095077,0.47683897628254274,0.21961211002070008,6.675745667955598e-16,3.0745695402898014e-16,19.62407063268397,0.411297182988271,0.6701385501933785,4.0,4.714448810979217,2.994041124135349e+249,2.994041124135349e+249,9.886878056263907,5.511757523976438e+249,0.9926842637781256,0.8494302884758502,303.5004577636719,301.4352722167969,137.93899816512302,45.4633179026347,-16.593946204963725,7.0,0.0
815463395.995,815463405.995,815463404.6524999,815463403.744,815463405.427,-1.5803181604625426e+276,3.998696616710024e+137,-2.2124454246475595e+261,5.5981752633940345e+122,,,,0.3701697353030709,0.2403565395366167,5.182376294242993e-16,3.364991553512634e-16,19.898997729004854,0.5432586268665709,1.1377051670054996,0.47057395371549515,0.21820270615875947,6.588035352016932e-16,3.054837886222633e-16,19.638430286773144,0.4136263418753785,0.6764700267603843,4.0,4.650883979028865,8.484374088443131e+276,8.484374088443131e+276,9.883428401225855,1.5618961390088491e+277,0.9923379038602375,0.8609033741991305,302.63397216796875,301.6114501953125,138.42127765794302,45.4629584975341,-16.591789551006148,6.75,0.0
